LST Per-LCZ-Class Histogram Data
Temperature range: -189 to 211 F
LCZ classes: [1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18]

LCZ_CLASS 1 (Compact high-rise) total_pixels=8639972
Temp(F)	Count	Probability
-189	13742	0.0015905144
-188	18	0.0000020833
-187	22	0.0000025463
-186	12	0.0000013889
-185	18	0.0000020833
-184	21	0.0000024306
-183	38	0.0000043982
-182	47	0.0000054398
-181	38	0.0000043982
-180	56	0.0000064815
-179	55	0.0000063658
-178	80	0.0000092593
-177	79	0.0000091435
-176	45	0.0000052084
-175	80	0.0000092593
-174	92	0.0000106482
-173	59	0.0000068287
-172	68	0.0000078704
-171	92	0.0000106482
-170	75	0.0000086806
-169	59	0.0000068287
-168	92	0.0000106482
-167	51	0.0000059028
-166	94	0.0000108797
-165	52	0.0000060185
-164	43	0.0000049769
-163	40	0.0000046296
-162	38	0.0000043982
-161	32	0.0000037037
-160	40	0.0000046296
-159	27	0.0000031250
-158	30	0.0000034722
-157	43	0.0000049769
-156	35	0.0000040509
-155	40	0.0000046296
-154	40	0.0000046296
-153	35	0.0000040509
-152	38	0.0000043982
-151	24	0.0000027778
-150	37	0.0000042824
-149	36	0.0000041667
-148	37	0.0000042824
-147	56	0.0000064815
-146	50	0.0000057871
-145	43	0.0000049769
-144	54	0.0000062500
-143	42	0.0000048611
-142	44	0.0000050926
-141	58	0.0000067130
-140	58	0.0000067130
-139	49	0.0000056713
-138	54	0.0000062500
-137	56	0.0000064815
-136	54	0.0000062500
-135	58	0.0000067130
-134	50	0.0000057871
-133	54	0.0000062500
-132	60	0.0000069445
-131	71	0.0000082176
-130	91	0.0000105324
-129	56	0.0000064815
-128	86	0.0000099537
-127	47	0.0000054398
-126	46	0.0000053241
-125	37	0.0000042824
-124	52	0.0000060185
-123	45	0.0000052084
-122	48	0.0000055556
-121	57	0.0000065972
-120	42	0.0000048611
-119	53	0.0000061343
-118	60	0.0000069445
-117	30	0.0000034722
-116	33	0.0000038195
-115	38	0.0000043982
-114	29	0.0000033565
-113	26	0.0000030093
-112	59	0.0000068287
-111	30	0.0000034722
-110	44	0.0000050926
-109	56	0.0000064815
-108	80	0.0000092593
-107	55	0.0000063658
-106	86	0.0000099537
-105	177	0.0000204862
-104	119	0.0000137732
-103	115	0.0000133102
-102	77	0.0000089121
-101	42	0.0000048611
-100	32	0.0000037037
-99	35	0.0000040509
-98	27	0.0000031250
-97	35	0.0000040509
-96	34	0.0000039352
-95	34	0.0000039352
-94	11	0.0000012732
-93	19	0.0000021991
-92	23	0.0000026620
-91	21	0.0000024306
-90	20	0.0000023148
-89	34	0.0000039352
-88	27	0.0000031250
-87	16	0.0000018519
-86	15	0.0000017361
-85	27	0.0000031250
-84	40	0.0000046296
-83	36	0.0000041667
-82	24	0.0000027778
-81	25	0.0000028935
-80	30	0.0000034722
-79	47	0.0000054398
-78	45	0.0000052084
-77	53	0.0000061343
-76	68	0.0000078704
-75	79	0.0000091435
-74	59	0.0000068287
-73	91	0.0000105324
-72	55	0.0000063658
-71	41	0.0000047454
-70	58	0.0000067130
-69	60	0.0000069445
-68	128	0.0000148149
-67	164	0.0000189815
-66	256	0.0000296297
-65	115	0.0000133102
-64	101	0.0000116899
-63	126	0.0000145834
-62	102	0.0000118056
-61	124	0.0000143519
-60	91	0.0000105324
-59	73	0.0000084491
-58	61	0.0000070602
-57	74	0.0000085648
-56	32	0.0000037037
-55	37	0.0000042824
-54	74	0.0000085648
-53	102	0.0000118056
-52	88	0.0000101852
-51	130	0.0000150463
-50	119	0.0000137732
-49	78	0.0000090278
